"trial","queens","maxgen","competitors","threads","solved","generations","time"
0, 8, 100, 1, 1, 0, 100, 0.022
1, 8, 100, 1, 1, 0, 100, 0.023
2, 8, 100, 1, 1, 0, 100, 0.024
3, 8, 100, 1, 1, 0, 100, 0.024
4, 8, 100, 1, 1, 1, 85, 0.021
5, 8, 100, 1, 1, 1, 34, 0.009
6, 8, 100, 1, 1, 1, 48, 0.012
7, 8, 100, 1, 1, 0, 100, 0.024
8, 8, 100, 1, 1, 0, 100, 0.03
9, 8, 100, 1, 1, 0, 100, 0.024
10, 8, 100, 1, 1, 0, 100, 0.026
0, 8, 100, 1, 2, 0, 100, 0.017
1, 8, 100, 1, 2, 1, 56, 0.01
2, 8, 100, 1, 2, 1, 40, 0.009
3, 8, 100, 1, 2, 1, 61, 0.011
4, 8, 100, 1, 2, 1, 22, 0.005
5, 8, 100, 1, 2, 0, 100, 0.018
6, 8, 100, 1, 2, 0, 100, 0.017
7, 8, 100, 1, 2, 0, 100, 0.015
8, 8, 100, 1, 2, 0, 100, 0.017
9, 8, 100, 1, 2, 1, 10, 0.003
10, 8, 100, 1, 2, 1, 36, 0.007
0, 8, 100, 1, 5, 1, 20, 0.004
1, 8, 100, 1, 5, 1, 65, 0.009
2, 8, 100, 1, 5, 0, 100, 0.013
3, 8, 100, 1, 5, 0, 100, 0.013
4, 8, 100, 1, 5, 0, 100, 0.014
5, 8, 100, 1, 5, 1, 20, 0.004
6, 8, 100, 1, 5, 0, 100, 0.013
7, 8, 100, 1, 5, 1, 65, 0.01
8, 8, 100, 1, 5, 1, 99, 0.013
9, 8, 100, 1, 5, 0, 100, 0.013
10, 8, 100, 1, 5, 0, 100, 0.013
0, 8, 100, 1, 10, 1, 16, 0.003
1, 8, 100, 1, 10, 1, 21, 0.004
2, 8, 100, 1, 10, 1, 31, 0.005
3, 8, 100, 1, 10, 1, 56, 0.008
4, 8, 100, 1, 10, 0, 100, 0.014
5, 8, 100, 1, 10, 0, 100, 0.013
6, 8, 100, 1, 10, 1, 15, 0.003
7, 8, 100, 1, 10, 0, 100, 0.016
8, 8, 100, 1, 10, 1, 34, 0.005
9, 8, 100, 1, 10, 0, 100, 0.014
10, 8, 100, 1, 10, 0, 100, 0.014
0, 8, 100, 2, 1, 0, 100, 0.039
1, 8, 100, 2, 1, 1, 30, 0.012
2, 8, 100, 2, 1, 0, 100, 0.042
3, 8, 100, 2, 1, 1, 11, 0.005
4, 8, 100, 2, 1, 1, 11, 0.006
5, 8, 100, 2, 1, 1, 22, 0.01
6, 8, 100, 2, 1, 1, 23, 0.009
7, 8, 100, 2, 1, 0, 100, 0.037
8, 8, 100, 2, 1, 0, 100, 0.035
9, 8, 100, 2, 1, 1, 56, 0.028
10, 8, 100, 2, 1, 0, 100, 0.034
0, 8, 100, 2, 2, 1, 6, 0.003
